stt,name,province,description,rating,image,keywords,activities,clean_keywords,text_for_model
1,Đại Nội Huế,Huế,Đại Nội Huế là quần thể di tích cung đình rộng lớn nằm giữa trung tâm biểu tượng. Nơi đây được xây dựng từ triều Nguyễn với nhiều công trình cổ kính và tinh xảo. Du khách đến thăm có thể cảm nhận rõ nét không khí hoài cổ và văn hóa cung đình xưa. Không gian rộng lớn thích hợp cho cả tham quan lẫn chụp ảnh kiến trúc cổ. Đại Nội là điểm đến biểu tượng khi nhắc đến Huế.,4.8,https://i.pinimg.com/1200x/d1/4b/65/d14b65c055c39e4f4d0cb224f41ac79a.jpg,"lịch sử, văn hóa, biểu tượng, hoài niệm, tham quan",outdoor,"['lịch sử', 'văn hóa', 'biểu tượng', 'hoài niệm', 'tham quan']",Đại Nội Huế là quần thể di tích cung đình rộng lớn nằm giữa trung tâm biểu tượng. Nơi đây được xây dựng từ triều Nguyễn với nhiều công trình cổ kính và tinh xảo. Du khách đến thăm có thể cảm nhận rõ nét không khí hoài cổ và văn hóa cung đình xưa. Không gian rộng lớn thích hợp cho cả tham quan lẫn chụp ảnh kiến trúc cổ. Đại Nội là điểm đến biểu tượng khi nhắc đến Huế. Huế Đại Nội Huế lịch sử văn hóa biểu tượng hoài niệm tham quan
2,Lăng Minh Mạng,Huế,"Lăng Minh Mạng nổi tiếng với kiến trúc cung đình hòa quyện cùng thiên nhiên núi rừng. Các hồ nước, cầu đá và lầu son tạo nên cảnh quan trầm mặc. Du khách dễ dàng cảm nhận được sự yên bình mang dấu ấn triều Nguyễn. Màu sắc cổ kính rất phù hợp để chụp ảnh. Không gian rộng rãi, thoáng đãng và hài hòa.",4.7,https://i.pinimg.com/1200x/f9/b1/57/f9b157f630d6aacf694dfea2578394c7.jpg,"lịch sử, kiến trúc, hoài niệm, thư giãn, tham quan",outdoor,"['lịch sử', 'kiến trúc', 'hoài niệm', 'thư giãn', 'tham quan']","Lăng Minh Mạng nổi tiếng với kiến trúc cung đình hòa quyện cùng thiên nhiên núi rừng. Các hồ nước, cầu đá và lầu son tạo nên cảnh quan trầm mặc. Du khách dễ dàng cảm nhận được sự yên bình mang dấu ấn triều Nguyễn. Màu sắc cổ kính rất phù hợp để chụp ảnh. Không gian rộng rãi, thoáng đãng và hài hòa. Huế Lăng Minh Mạng lịch sử kiến trúc hoài niệm thư giãn tham quan"
3,Lăng Tự Đức,Huế,"Lăng Tự Đức nổi tiếng với phong cảnh thơ mộng, hồ nước lớn và những rừng thông bao quanh. Công trình mang dấu ấn kiến trúc truyền thống và sự tinh tế của nghệ nhân xưa. Du khách có thể tản bộ và chụp ảnh trong không gian thi vị. Nhiều góc mang vẻ trầm mặc đặc trưng của Huế. Đây là một trong những lăng đẹp nhất của nhà Nguyễn.",4.7,https://i.pinimg.com/1200x/65/40/0b/65400ba0e278a17330354fd9b10b551a.jpg,"lịch sử, thiên nhiên, lãng mạn, hoài niệm, tham quan",outdoor,"['lịch sử', 'thiên nhiên', 'lãng mạn', 'hoài niệm', 'tham quan']","Lăng Tự Đức nổi tiếng với phong cảnh thơ mộng, hồ nước lớn và những rừng thông bao quanh. Công trình mang dấu ấn kiến trúc truyền thống và sự tinh tế của nghệ nhân xưa. Du khách có thể tản bộ và chụp ảnh trong không gian thi vị. Nhiều góc mang vẻ trầm mặc đặc trưng của Huế. Đây là một trong những lăng đẹp nhất của nhà Nguyễn. Huế Lăng Tự Đức lịch sử thiên nhiên lãng mạn hoài niệm tham quan"
4,Cầu Trường Tiền,Huế,"Cầu Trường Tiền là biểu tượng lâu đời bắc qua sông Hương. Cây cầu mang đến cảm giác hoài niệm với kiến trúc thanh mảnh, đặc trưng của Huế. Buổi tối, cầu được chiếu sáng lung linh thu hút rất nhiều du khách. Đây là nơi lý tưởng để dạo bộ và ngắm cảnh. Khung cảnh hai bờ sông Hương tạo nên không gian thơ mộng.",4.6,https://i.pinimg.com/1200x/02/38/75/0238753291f33236371bdc7d919b2d21.jpg,"biểu tượng, biểu tượng, lãng mạn, cảnh đẹp, ngắm cảnh",outdoor,"['biểu tượng', 'biểu tượng', 'lãng mạn', 'cảnh đẹp', 'ngắm cảnh']","Cầu Trường Tiền là biểu tượng lâu đời bắc qua sông Hương. Cây cầu mang đến cảm giác hoài niệm với kiến trúc thanh mảnh, đặc trưng của Huế. Buổi tối, cầu được chiếu sáng lung linh thu hút rất nhiều du khách. Đây là nơi lý tưởng để dạo bộ và ngắm cảnh. Khung cảnh hai bờ sông Hương tạo nên không gian thơ mộng. Huế Cầu Trường Tiền biểu tượng biểu tượng lãng mạn cảnh đẹp ngắm cảnh"
5,Chùa Thiên Mụ,Huế,Chùa Thiên Mụ nằm cạnh sông Hương với tháp Phước Duyên nổi tiếng. Ngôi chùa cổ mang nét đẹp yên bình và linh thiêng. Đây là điểm đến tâm linh thu hút rất nhiều du khách và Phật tử. Không gian thoáng đãng rất phù hợp cho việc thưởng ngoạn và chụp ảnh. Từ đây có thể nhìn ra dòng Hương Giang đầy thơ mộng.,4.7,https://i.pinimg.com/1200x/2c/38/b4/2c38b4b41b4f6fea9bc4e92ab028df8b.jpg,"tâm linh, thiên nhiên, cảnh đẹp, truyền thống, tham quan",outdoor,"['tâm linh', 'thiên nhiên', 'cảnh đẹp', 'truyền thống', 'tham quan']",Chùa Thiên Mụ nằm cạnh sông Hương với tháp Phước Duyên nổi tiếng. Ngôi chùa cổ mang nét đẹp yên bình và linh thiêng. Đây là điểm đến tâm linh thu hút rất nhiều du khách và Phật tử. Không gian thoáng đãng rất phù hợp cho việc thưởng ngoạn và chụp ảnh. Từ đây có thể nhìn ra dòng Hương Giang đầy thơ mộng. Huế Chùa Thiên Mụ tâm linh thiên nhiên cảnh đẹp truyền thống tham quan
6,Sông Hương – Du thuyền nghe Ca Huế,Huế,Trải nghiệm du thuyền trên Sông Hương mang đến cảm giác thư giãn đặc biệt. Du khách được nghe Ca Huế – di sản văn hóa truyền thống. Buổi tối không khí mát mẻ và lãng mạn. Đây là hoạt động rất đặc trưng của xứ Huế. Phù hợp cho cặp đôi hoặc nhóm bạn.,4.6,https://i.pinimg.com/1200x/40/ea/33/40ea33833be651da3ce9efb1c7b11798.jpg,"văn hóa, lãng mạn, giải trí, cảnh đẹp, tham quan",outdoor,"['văn hóa', 'lãng mạn', 'giải trí', 'cảnh đẹp', 'tham quan']",Trải nghiệm du thuyền trên Sông Hương mang đến cảm giác thư giãn đặc biệt. Du khách được nghe Ca Huế – di sản văn hóa truyền thống. Buổi tối không khí mát mẻ và lãng mạn. Đây là hoạt động rất đặc trưng của xứ Huế. Phù hợp cho cặp đôi hoặc nhóm bạn. Huế Sông Hương – Du thuyền nghe Ca Huế văn hóa lãng mạn giải trí cảnh đẹp tham quan
7,Đồi Vọng Cảnh,Huế,Đồi Vọng Cảnh là điểm ngắm toàn cảnh sông Hương tuyệt đẹp. Không gian thoáng đãng bao phủ bởi rừng thông xanh mát. Đây là điểm săn mây nhẹ và chụp ảnh phong cảnh. Không khí yên bình giúp du khách thư giãn. Rất thích hợp cho người yêu thiên nhiên.,4.5,https://i.pinimg.com/1200x/00/a3/5f/00a35f1be6f4c6409c42a1c53cccdbde.jpg,"thiên nhiên, cảnh đẹp, thư giãn, ngắm cảnh, săn mây",outdoor,"['thiên nhiên', 'cảnh đẹp', 'thư giãn', 'ngắm cảnh', 'săn mây']",Đồi Vọng Cảnh là điểm ngắm toàn cảnh sông Hương tuyệt đẹp. Không gian thoáng đãng bao phủ bởi rừng thông xanh mát. Đây là điểm săn mây nhẹ và chụp ảnh phong cảnh. Không khí yên bình giúp du khách thư giãn. Rất thích hợp cho người yêu thiên nhiên. Huế Đồi Vọng Cảnh thiên nhiên cảnh đẹp thư giãn ngắm cảnh săn mây
8,Biển Thuận An,Huế,Biển Thuận An là một trong những bãi biển đẹp nhất Thừa Thiên Huế. Nước biển trong xanh và bãi cát dài tạo nên không gian thư giãn. Du khách có thể tắm biển hoặc chụp ảnh. Buổi chiều hoàng hôn rất đẹp và lãng mạn. Nhiều quán hải sản phục vụ tươi ngon.,4.4,https://i.pinimg.com/1200x/5b/ab/49/5bab498a12789f14d3961ec71f101fad.jpg,"biển, thiên nhiên, thư giãn, lãng mạn, picnic",outdoor,"['biển', 'thiên nhiên', 'thư giãn', 'lãng mạn', 'picnic']",Biển Thuận An là một trong những bãi biển đẹp nhất Thừa Thiên Huế. Nước biển trong xanh và bãi cát dài tạo nên không gian thư giãn. Du khách có thể tắm biển hoặc chụp ảnh. Buổi chiều hoàng hôn rất đẹp và lãng mạn. Nhiều quán hải sản phục vụ tươi ngon. Huế Biển Thuận An biển thiên nhiên thư giãn lãng mạn picnic
9,Phá Tam Giang,Huế,Phá Tam Giang là đầm phá lớn nhất Đông Nam Á với vẻ đẹp nguyên sơ. Hoàng hôn tại đây được xem là một trong những khoảnh khắc đẹp nhất Huế. Du khách có thể đi thuyền khám phá hệ sinh thái và chụp ảnh. Ẩm thực hải sản địa phương cũng rất hấp dẫn. Không gian bình yên phù hợp cho các hoạt động thư giãn.,4.7,https://i.pinimg.com/1200x/d5/c2/63/d5c26396e940ec33c6168aae2c118b26.jpg,"thiên nhiên, cảnh đẹp, thư giãn, ngắm cảnh, tham quan",outdoor,"['thiên nhiên', 'cảnh đẹp', 'thư giãn', 'ngắm cảnh', 'tham quan']",Phá Tam Giang là đầm phá lớn nhất Đông Nam Á với vẻ đẹp nguyên sơ. Hoàng hôn tại đây được xem là một trong những khoảnh khắc đẹp nhất Huế. Du khách có thể đi thuyền khám phá hệ sinh thái và chụp ảnh. Ẩm thực hải sản địa phương cũng rất hấp dẫn. Không gian bình yên phù hợp cho các hoạt động thư giãn. Huế Phá Tam Giang thiên nhiên cảnh đẹp thư giãn ngắm cảnh tham quan
10,Suối Voi,Huế,Suối Voi nổi tiếng với dòng nước trong và nhiều tảng đá lớn giữa rừng. Du khách có thể tắm suối hoặc picnic. Không gian tự nhiên dễ chịu rất thích hợp để nghỉ ngơi. Nhiều chòi lá phục vụ cho khách. Đây là địa điểm giải nhiệt ngày hè lý tưởng.,4.5,https://i.pinimg.com/1200x/29/60/b6/2960b6d6311f192b1cdfbcd528ca7ca5.jpg,"thiên nhiên, rừng, thư giãn, mạo hiểm, picnic",outdoor,"['thiên nhiên', 'rừng', 'thư giãn', 'mạo hiểm', 'picnic']",Suối Voi nổi tiếng với dòng nước trong và nhiều tảng đá lớn giữa rừng. Du khách có thể tắm suối hoặc picnic. Không gian tự nhiên dễ chịu rất thích hợp để nghỉ ngơi. Nhiều chòi lá phục vụ cho khách. Đây là địa điểm giải nhiệt ngày hè lý tưởng. Huế Suối Voi thiên nhiên rừng thư giãn mạo hiểm picnic
